,lon,lat,z1p0,z2p5,sigma,vs30,v22p12,v22p11,v22p4,v22p2,v21p6,v21p1,v20p9,v20p6,v20p5,v20p4
HNPS,176.8801,-39.671,0.195,5.625,0.3,258.535378199928,False,True,False,False,False,False,True,True,True,True
TRMS,175.991,-40.6713,0.055,0.625,0.5,455.000085479607,True,True,True,False,False,True,True,True,True,True
NSPS,176.9159,-39.4896,0.105,6.625,0.3,231.784306655515,False,True,False,False,False,False,True,True,True,True
MWZ,177.5278,-38.334,0.045,0.275,0.5,812.280510162876,False,False,False,False,False,False,True,True,True,True
NCDS,176.8761,-39.4984,0.305,6.475,0.3,155.925547633005,False,True,False,False,False,False,True,True,True,True
MTHZ,176.8411,-38.8523,0.055,1.725,0.5,455.000000306074,False,False,False,False,False,False,True,True,True,True
WDPS,175.8698,-40.3382,0.065,0.275,0.5,500.000000024948,True,True,False,False,False,True,True,True,True,True
TSZ,175.9611,-40.0586,0.045,0.275,0.5,653.112606978444,True,True,False,False,False,False,True,True,True,True
NCHS,176.8968,-39.5066,0.145,6.525,0.3,166.882370505958,False,True,False,False,False,False,True,True,True,True
NAAS,176.872,-39.4687,0.255,6.475,0.3,168.663641347937,False,True,False,False,False,False,True,True,True,True
WFSS,177.4249,-39.0342,0.095,8.825,0.3,176.43606062513,False,False,False,False,False,False,True,True,True,True
NGHS,176.9149,-39.4859,0.115,6.675,0.3,238.266786557735,False,True,False,False,False,False,True,True,True,True
OPSS,173.855,-39.45,0.075,1.725,0.5,454.999999999782,True,True,False,False,False,True,True,True,True,True
URZ,177.1109,-38.2592,0.045,0.275,0.5,676.295652852781,False,False,False,False,False,False,True,True,True,True
HAVS,173.7847,-41.2723,0.055,0.275,0.5,690.974348975047,True,True,True,False,True,True,True,True,True,True
DAVS,174.9544,-41.2058,0.065,0.275,0.3,205.884769879924,True,True,True,False,False,True,True,True,True,True
PWES,174.8259,-41.1275,0.045,0.275,0.5,455.017881260658,True,True,True,False,False,True,True,True,True,True
MOLS,173.2574,-42.088,0.065,0.525,0.5,246.613837142307,True,True,True,False,True,True,True,True,True,True
WANS,174.931,-41.2312,0.035,0.275,0.5,524.817970697741,True,True,True,False,False,True,True,True,True,True
INSS,174.9211,-41.2335,0.055,0.275,0.5,615.648285385406,True,True,True,False,False,True,True,True,True,True
NELS,173.2742,-41.2878,0.395,0.425,0.3,455.0734251127,True,True,True,False,True,True,True,True,True,True
NBSS,174.9538,-41.2023,0.065,0.275,0.3,191.842137066829,True,True,True,False,False,True,True,True,True,True
WDFS,174.1384,-41.8274,0.305,5.175,0.3,240.0,True,True,True,False,True,True,True,True,True,True
NEWS,174.8218,-41.232,0.045,0.375,0.5,454.456540374843,True,True,True,False,False,True,True,True,True,True
SOMS,174.865,-41.2575,0.095,0.325,0.3,460.215902515628,True,True,True,False,False,True,True,True,True,True
